13.8 readToken
8.3 scanIdentifierOrKeyword
5.6 skipWhiteSpace
4.9 createToken
4.7 CompareICStub~\{1\}
3.1 parsePrefixExpression
2.9 CompareICStub~\{2\}
2.6 CallFunctionStub\_Args0\_Recording
2.2 parseSubExpression
2.1 slice
2.1 parsePrimaryExpression
47.7 Other
